factor,IC_IR,IC_mean,IC_t,FM_λ_annual,FM_t,cs_effective_ratio,IC_pass,FM_pass,CS_pass,pass
alpha168,0.23356671218668973,0.015591581757182676,14.541286512741197,0.03748781274199106,3.207879848613625,1.0,True,True,True,True
alpha088,0.23276076553874175,0.03544063431185709,14.491110265398092,0.11642549996689372,2.2601907823601253,0.00025786487880350697,True,True,False,False
alpha140,0.23161554191146289,0.026936865847438925,14.429109177923097,0.045128714374220634,1.0611925652688154,,True,False,False,False
alpha008,0.22790882412868638,0.03668683341462622,14.198189287409548,0.11732438078628604,2.4209083958807835,1.0,True,True,True,True
alpha152,0.22684713505159101,0.03044029105562726,14.132048528978608,0.23751206212565468,4.288357497262475,0.01056156620298815,True,True,False,False
alpha102,0.2251210475008078,0.024943264610597284,14.031742700685466,0.32745281979128665,6.96040247749509,0.0,True,True,False,False
alpha109,-0.22507384787434284,-0.023194151229548942,-9.880203575491112,-0.061970932067057984,-2.348350151872945,1.0,True,True,True,True
alpha065,0.22488865679219555,0.036496839969582286,14.00823482315798,0.04399702296677294,0.7799266058018587,,True,False,False,False
alpha157,-0.22475145904411975,-0.033009196872382594,-14.001492791380844,-0.20117396863258205,-3.279084015013919,0.015971148892323546,True,True,False,False
alpha159,-0.22356625857273996,-0.023575816859809702,-13.92765756055768,-0.20926350713462874,-4.267042071058071,0.00025759917568263783,True,True,False,False
alpha161,-0.220536240592507,-0.016493647058242765,-13.730041540916208,-0.0577769576993554,-4.062156966430204,1.0,True,True,True,True
alpha045,-0.22043845038792775,-0.07225603857462679,-7.504626237497135,-9.310437972330492,-2.4205510735679074,1.0,True,True,True,True
alpha147,0.21285032531208625,0.025468617055253596,13.258371416715873,0.07870380044789496,2.1536094292403063,1.0,True,True,True,True
alpha153,-0.21279530122930565,-0.030663900985690086,-13.25665198737134,-0.224227703346737,-3.838231198218051,0.010046367851622875,True,True,False,False
alpha096,0.21103396319803439,0.03968399144346554,13.153698001916585,0.22137918767169124,3.4937017408731403,0.9969119917653114,True,True,True,True
alpha084,0.20958564904665566,0.0389832744199101,13.029756239722218,0.10319748927509188,1.7703046061711223,,True,False,False,False
alpha043,-0.2071752836316069,-0.06812530416669921,-7.053093807212748,33.04637466307133,0.8783599343986318,,True,False,False,False
alpha042,0.206891469240509,0.022912926514886345,12.887196381395231,0.18229765783260213,4.257462790818148,0.04715279567121876,True,True,False,False
alpha154,0.20506530841635479,0.026452469585566057,12.7750914266156,0.2329477316035555,4.251889358122671,0.006697578567748583,True,True,False,False
alpha055,0.20391935028117233,0.025908154454989812,12.703700902001334,0.17103751701427336,3.268728781156692,0.9997424008243173,True,True,True,True
alpha047,0.2038954242558218,0.030722259282781106,12.707118800974545,0.08875044612395645,1.472462515346632,,True,False,False,False
alpha046,-0.20083243175464485,-0.05836457221754856,-0.6350879123750041,-1.869687090422619,-0.783798758363315,,True,False,False,False
alpha062,0.20078786058168827,0.0320625665564127,12.511839006633688,-0.02464626971522634,-0.4727726083242924,,True,False,False,False
alpha063,0.20047648926727243,0.03195737848905728,12.490827591130596,-0.028012784898144964,-0.5202453485917132,,True,False,False,False
alpha155,-0.2000487392496417,-0.028560779591705984,-12.462570843550514,-0.22079296135311685,-3.6206432734353227,0.0061823802163833074,True,True,False,False
alpha053,0.19709416848829228,0.02438868166311714,12.281671302875301,0.17666867401446246,3.4830398680290737,0.9997425334706488,True,True,True,True
alpha064,0.19466721464521136,0.03130727419614573,12.127314386146256,-0.044605882016988875,-0.8053501886598753,,True,False,False,False
alpha183,0.19292597889694096,0.013228628461573685,12.006445698042244,0.03855398022632064,2.897495344664659,1.0,True,True,True,True
alpha156,0.19272749749114076,0.02653823052098895,12.006474522122478,0.20832326858956807,3.625637089309598,0.012622359608449252,True,True,False,False
alpha158,0.19010611678193626,0.018201447325520346,11.843168605179857,0.2214087180095548,4.709701408824615,0.0,True,True,False,False
alpha132,0.18887677181794316,0.02134950059723454,11.766583275212808,0.08228005720017935,1.7543735576173591,,True,False,False,False
alpha164,0.18823422134572199,0.013299381383986666,11.718997619417067,0.04137711391304392,3.0552325506095546,1.0,True,True,True,True
alpha054,0.18756049405212524,0.023649512734642428,11.686087494224836,0.13982605510612822,2.69213123539103,1.0,True,True,True,True
alpha089,0.18755138005341943,0.028834875946616424,11.670459033786807,0.04383179369887467,0.8559820899834517,,True,False,False,False
alpha106,0.17944294930811128,0.014606342047624005,11.177437791319008,0.011308177675977464,0.6706649511661076,,True,False,False,False
alpha184,-0.17717129506176965,-0.012296619173288148,-11.027401009913062,0.003232769210843488,0.2279331201446208,,True,False,False,False
alpha149,0.1758739904534853,0.021153619989731087,10.955128607641566,-0.0319776892720026,-0.8450724231108446,,True,False,False,False
alpha145,0.17504597787936307,0.0197096939732001,10.903551997508004,0.0228199216681676,0.6326243123409032,,True,False,False,False
alpha165,-0.17025951686045873,-0.011928272581555802,-10.5999369217045,-0.04059335637863897,-3.1161476978000624,1.0,True,True,True,True
alpha146,0.1674990061690352,0.01637391865102468,10.433453801227293,0.10233082738352688,3.3214447938294636,1.0,True,True,True,True
alpha134,0.165841275736202,0.02006579315256559,10.331525484237282,-0.04154563191866458,-0.9952679140673205,,True,False,False,False
alpha179,0.16425852809444136,0.018847420178818228,10.225010914446033,0.055895658287121,1.1659414870204474,,True,False,False,False
alpha090,0.16306713105509785,0.025371822023072046,10.133805514630092,0.026649960139335904,0.5258187718293672,,True,False,False,False
alpha028,0.16152254538677632,0.020874925326995492,10.06118217471019,0.020763696330841484,0.5372012838214489,,True,False,False,False
alpha175,-0.16028365116243407,-0.030931873070075312,-9.984011892032585,-0.1241757436508672,-3.5575865176757757,1.0,True,True,True,True
alpha131,0.15977028960236653,0.020591943312071623,9.937917503476548,-0.09055213921592287,-1.5694713482957467,,True,False,False,False
alpha044,-0.15902453087313817,-0.05143432131923273,-5.413845291944509,-5.4484829713090805,-0.33563362705771604,,True,False,False,False
alpha079,0.1556721392475977,0.02518609097470102,9.698011949574042,0.2170391961454747,3.8750472819949056,1.0,True,True,True,True
alpha026,0.15565368691340076,0.02003246648113487,9.698111605331794,0.05101174435726392,1.3559114383565831,,True,False,False,False
alpha107,0.1536772081850444,0.012479598799481953,9.572498897588444,-0.007884848375082286,-0.45484623820007697,,True,False,False,False
alpha019,0.14912641934723325,0.027874736752886962,9.287834754488308,0.10863994180035327,1.8306867955631319,,True,False,False,False
alpha018,0.14827996197446475,0.018104921002819258,9.241066097929913,0.11422489209190911,2.4513810506196294,0.9994851994851995,True,True,True,True
alpha052,0.14827996197446475,0.018104921002819258,9.241066097929913,0.11422489209190911,2.4513810506196294,0.9994851994851995,True,True,True,True
alpha095,0.14528050907448545,0.020884977280722524,9.04130461413147,-0.04546333091145826,-0.7588508376673492,,True,False,False,False
