factor,IC_IR,IC_mean,IC_t,IC_days,FM_λ_annual,FM_t,FM_days,cs_effective_ratio,IC_pass,FM_pass,CS_pass,pass
alpha119,-0.0298411495579652,-0.0044108388238011335,-1.8592736515490038,3882,-0.2921161643530839,-5.586583969224204,3883,0.5302445302445302,False,True,True,False
alpha029,-0.029699842821838823,-0.0024802999302595266,-1.8490388455292455,3876,-0.12937892561042563,-4.682790982673387,3877,0.0,False,True,False,False
alpha190,0.027467702998839334,0.002733288521474129,1.7111739659876575,3881,0.07292333393791008,1.8190569300998085,3882,0.010303967027305513,False,False,False,False
alpha172,-0.02741418623274276,-0.0034095952731927654,-1.7047568523132983,3867,-0.0002356814458157491,-0.36225796815431105,3868,1.0,False,False,True,False
alpha125,0.02479977503496984,0.002297321523434684,1.5449682634177393,3881,0.39365572013641387,6.142848459298657,3882,0.0,False,True,False,False
alpha188,0.015210379632765916,0.0015534219766519303,0.9479374130484507,3884,0.062046988773281006,1.710297608477106,3885,0.9981981981981982,False,False,True,False
alpha124,-0.01496943991097139,-0.002083559147951015,-0.9329216289527986,3884,-0.13508793473207714,-2.9912344057886924,3885,0.998970398970399,False,True,True,False
alpha046,0.014619427117163611,0.003627234612157172,0.029238854234327222,4,-2.128628986354157,-0.7568554339325096,4,1.0,False,False,True,False
alpha129,0.014507133501485829,0.0014232428838577788,0.21953276574683456,229,-0.24328444309246394,-0.10355568201735324,229,0.0,False,False,False,False
alpha118,0.014336798348020567,0.001969679976820634,0.8934943022818286,3884,-0.2689249234756584,-5.362216033891319,3885,0.5691119691119692,False,True,True,False
alpha024,-0.013954646463633412,-0.0019197514095615634,-0.8696779296847118,3884,-0.299863726810071,-6.882354782475327,3885,1.0,False,True,True,False
alpha191,-0.013905346930040936,-0.0009690308654432218,-0.866047512274341,3879,0.054866157502417294,3.6692125795795705,3880,1.0,False,True,True,False
alpha002,-0.011311936301374555,-0.0015002160205101185,-0.7049796187200057,3884,-0.17261427953600136,-7.921662999617391,3885,0.9976833976833976,False,True,True,False
alpha185,0.009522430219588034,0.0006547634030623844,0.5931488075291586,3880,0.08270952939754057,5.600057643650174,3881,1.0,False,True,True,False
alpha181,0.006378792871051362,0.0006209030058704653,0.39758868085063553,3885,0.12402298174769942,2.906671459225837,3886,0.9595985589294905,False,True,True,False
alpha032,-0.005745942073366106,-0.0004342088260245318,-0.35772815908649935,3876,-0.07881897870882838,-3.4189228420876794,3877,0.0,False,True,False,False
alpha127,-0.004789916455498126,-0.000541303626019759,-0.29851595575970696,3884,0.20699454887778937,5.51541571687479,3885,0.7261261261261261,False,True,True,False
alpha130,0.0037279989482626847,0.000531611767467154,0.2322456575916098,3881,-0.3543173382263005,-4.637625697899232,3882,0.0020607934054611026,False,True,False,False
alpha178,-0.003020922375434566,-0.000410613399932889,-0.1882206771260627,3882,0.22541813921670167,5.165945557436996,3883,0.999484934329127,False,True,True,False
alpha030,-0.002988753102379359,-0.00024321653404039368,-0.18607238493302325,3876,-0.08159400259152931,-2.999809912815202,3877,0.0,False,True,False,False
alpha027,-0.000728892958022495,-9.89343790083094e-05,-0.04540833479277578,3881,-0.3606580501600928,-8.377708725127412,3882,1.0,False,True,True,False
alpha186,-2.053413927037974e-05,-1.4723068106241714e-06,-0.0012790642662635695,3880,-0.018844896212821358,-1.2320600075475288,3881,1.0,False,False,True,False
alpha097,0.0,0.0,0.0,0,0.0,0.0,0,0.0,False,False,False,False
alpha121,0.0,0.0,0.0,0,0.0,0.0,0,0.0,False,False,False,False
alpha133,0.0,0.0,0.0,0,0.0,0.0,0,0.0,False,False,False,False
