factor,IC_IR,IC_mean,IC_t,IC_days,FM_λ_annual,FM_t,FM_days,cs_effective_ratio,IC_pass,FM_pass,CS_pass,pass
alpha032,-0.060984552916204526,-0.0049299506312958765,-3.796747612293069,3876,-0.13816600739979415,-6.281564877828446,3877,0.0,True,True,False,False
alpha118,0.05727288512445557,0.009089126950509974,3.569346188161183,3884,-0.07320999522997848,-1.501013697399942,3885,0.5981981981981982,True,False,True,False
alpha030,-0.05704239005713422,-0.00454572744285168,-3.5513182911498693,3876,-0.13120567166579553,-6.0208812400093175,3877,0.0,True,True,False,False
alpha013,-0.05578026624447197,-0.008183915117866068,-3.476771063422459,3885,-0.0025424922353671736,-3.0325027172667025,3886,1.0,True,True,True,True
alpha002,0.05492405659568394,0.008574709226626013,3.422963093654994,3884,-0.06735702641855379,-2.618911148591678,3885,0.998970398970399,True,True,True,True
alpha126,0.05162987347625586,0.004406664032567349,3.217663850655713,3884,0.148200949787643,2.630164390344014,3885,0.0002574002574002574,True,True,False,False
alpha114,0.05076952067094775,0.006101594248361799,3.1624154706698846,3880,-0.006833872184288792,-0.3230759835094142,3881,1.0,True,False,True,False
alpha029,-0.05064667705273966,-0.004172696760071527,-3.1531369990493507,3876,-0.14344875346326819,-6.435235575231139,3877,0.0,True,True,False,False
alpha007,-0.049521198199812703,-0.006579067070367662,-3.0854528183372705,3882,-0.0031687924745204842,-0.11966622765872152,3883,1.0,False,False,True,False
alpha139,0.04834571134995073,0.006362215823142171,3.011825292878892,3881,0.22511843626740402,4.754432071810514,3882,0.0007727975270479134,False,True,False,False
alpha182,0.047165686110847774,0.005682439484245785,2.9398262808204785,3885,0.05141550262194781,1.1698895493372912,3886,0.9760679361811632,False,False,True,False
alpha098,-0.04592174306454073,-0.006717686853180366,-2.8622915991287337,3885,-0.16566657219776798,-3.661643681935304,3886,0.9835306227483274,False,True,True,False
alpha015,0.04445720345065574,0.006138651784035938,2.770650532587652,3884,19.340697265200934,12.126834232151685,3885,0.9518661518661519,False,True,True,False
alpha187,0.04206653887441315,0.004293865562005776,2.6216601425655535,3884,0.09345100998861776,3.2904301847771262,3885,0.998970398970399,False,True,True,False
alpha027,0.04105951166727404,0.00661806375870654,2.5579120112145777,3881,-0.19195801972614399,-4.02904251977231,3882,1.0,False,True,True,False
alpha115,0.03962437837332226,0.003577885079643913,2.468188502224287,3880,0.07324031791443278,4.688445212031288,3881,1.0,False,True,True,False
alpha079,0.03841033269105032,0.00630479540562964,2.3928743269368855,3881,0.0514221112562669,1.0032488232398742,3882,1.0,False,False,True,False
alpha178,-0.03270090878914525,-0.00507387322489257,-2.0379777251015803,3884,0.12779954069960134,2.756570744559612,3885,0.9994851994851995,False,True,True,False
alpha122,0.03084740939211037,0.0047848101979184885,1.9224644068325738,3884,-0.1586413269633632,-3.6222560338632324,3885,1.0,False,True,True,False
alpha124,-0.02834122358623891,-0.004612817069239173,-1.7662745321026339,3884,-0.10843449974485019,-2.338371353462008,3885,0.9997425997425997,False,True,True,False
alpha024,0.028142510010765606,0.004544695931030856,1.7538903551642757,3884,-0.14469664086046333,-3.027953365173529,3885,1.0,False,True,True,False
alpha127,0.02753424987866671,0.0034369463199632713,1.7159825218291855,3884,0.20521252738851614,5.61783957268958,3885,0.9593307593307593,False,True,True,False
alpha125,-0.02695006065467127,-0.0023129450631071786,-1.655839448458542,3775,0.13586135181061557,1.397806562392257,3776,0.0,False,False,False,False
alpha117,-0.02258865019534406,-0.0028066629580323745,-1.3521151661494712,3583,0.00870224613775391,0.3598007280201439,3584,1.0,False,False,True,False
